,date,predict
290,2018/5/10,2
291,2018/5/11,2
292,2018/5/14,1
293,2018/5/15,1
294,2018/5/16,1
295,2018/5/17,1
296,2018/5/18,1
297,2018/5/21,1
298,2018/5/22,1
299,2018/5/23,1
300,2018/5/24,1
301,2018/5/25,1
302,2018/5/28,1
303,2018/5/29,1
304,2018/5/30,1
305,2018/5/31,1
306,2018/6/1,1
307,2018/6/4,1
308,2018/6/5,1
309,2018/6/6,1
310,2018/6/7,1
311,2018/6/8,1
312,2018/6/11,1
313,2018/6/12,1
314,2018/6/13,1
315,2018/6/14,1
316,2018/6/15,1
317,2018/6/19,1
318,2018/6/20,1
319,2018/6/21,0
320,2018/6/22,1
321,2018/6/25,0
322,2018/6/26,0
323,2018/6/27,0
324,2018/6/28,0
325,2018/6/29,1
326,2018/7/2,1
327,2018/7/3,0
328,2018/7/4,0
329,2018/7/5,0
330,2018/7/6,0
331,2018/7/9,0
332,2018/7/10,0
333,2018/7/11,0
334,2018/7/12,0
335,2018/7/13,1
336,2018/7/16,1
337,2018/7/17,1
338,2018/7/18,1
339,2018/7/19,1
340,2018/7/20,1
341,2018/7/23,1
342,2018/7/24,2
343,2018/7/25,2
344,2018/7/26,2
345,2018/7/27,1
346,2018/7/30,1
347,2018/7/31,1
348,2018/8/1,1
349,2018/8/2,1
350,2018/8/3,1
351,2018/8/6,1
352,2018/8/7,1
353,2018/8/8,0
354,2018/8/9,1
355,2018/8/10,1
356,2018/8/13,1
357,2018/8/14,1
358,2018/8/15,1
359,2018/8/16,1
360,2018/8/17,1
361,2018/8/20,1
362,2018/8/21,1
363,2018/8/22,1
364,2018/8/23,2
365,2018/8/24,1
366,2018/8/27,1
367,2018/8/28,1
368,2018/8/29,1
369,2018/8/30,1
370,2018/8/31,1
371,2018/9/3,1
372,2018/9/4,1
373,2018/9/5,1
374,2018/9/6,1
375,2018/9/7,1
376,2018/9/10,1
377,2018/9/11,1
378,2018/9/12,1
379,2018/9/13,1
380,2018/9/14,1
381,2018/9/17,1
382,2018/9/18,1
383,2018/9/19,1
384,2018/9/20,1
385,2018/9/21,1
386,2018/9/25,1
387,2018/9/26,1
388,2018/9/27,2
389,2018/9/28,2
390,2018/10/8,2
391,2018/10/9,1
392,2018/10/10,1
393,2018/10/11,1
394,2018/10/12,1
395,2018/10/15,1
396,2018/10/16,1
397,2018/10/17,1
398,2018/10/18,1
399,2018/10/19,1
400,2018/10/22,1
401,2018/10/23,1
402,2018/10/24,1
403,2018/10/25,1
404,2018/10/26,1
405,2018/10/29,1
406,2018/10/30,1
407,2018/10/31,1
408,2018/11/1,1
409,2018/11/2,1
410,2018/11/5,1
411,2018/11/6,1
412,2018/11/7,1
413,2018/11/8,1
414,2018/11/9,1
415,2018/11/12,2
416,2018/11/13,2
417,2018/11/14,2
418,2018/11/15,1
419,2018/11/16,0
420,2018/11/19,0
421,2018/11/20,0
422,2018/11/21,0
423,2018/11/22,0
424,2018/11/23,0
425,2018/11/26,0
426,2018/11/27,0
427,2018/11/28,0
428,2018/11/29,0
429,2018/11/30,0
430,2018/12/3,1
431,2018/12/4,1
432,2018/12/5,1
433,2018/12/6,1
434,2018/12/7,1
435,2018/12/10,1
436,2018/12/11,1
437,2018/12/12,1
438,2018/12/13,1
439,2018/12/14,1
440,2018/12/17,1
441,2018/12/18,1
442,2018/12/19,1
443,2018/12/20,1
444,2018/12/21,1
445,2018/12/24,1
446,2018/12/25,1
447,2018/12/26,1
448,2018/12/27,1
449,2018/12/28,1
450,2019/1/2,1
451,2019/1/3,1
452,2019/1/4,1
453,2019/1/7,1
454,2019/1/8,1
455,2019/1/9,1
456,2019/1/10,1
457,2019/1/11,1
458,2019/1/14,1
459,2019/1/15,2
460,2019/1/16,1
461,2019/1/17,1
462,2019/1/18,1
463,2019/1/21,2
464,2019/1/22,2
465,2019/1/23,2
466,2019/1/24,2
467,2019/1/25,2
468,2019/1/28,2
469,2019/1/29,2
470,2019/1/30,0
471,2019/1/31,0
472,2019/2/1,1
473,2019/2/11,0
474,2019/2/12,1
475,2019/2/13,0
476,2019/2/14,0
477,2019/2/15,0
478,2019/2/18,1
479,2019/2/19,1
480,2019/2/20,1
481,2019/2/21,1
482,2019/2/22,1
483,2019/2/25,1
484,2019/2/26,1
485,2019/2/27,1
486,2019/2/28,1
487,2019/3/1,1
488,2019/3/4,1
489,2019/3/5,1
490,2019/3/6,1
491,2019/3/7,1
492,2019/3/8,1
493,2019/3/11,1
494,2019/3/12,1
495,2019/3/13,2
496,2019/3/14,2
497,2019/3/15,2
498,2019/3/18,2
499,2019/3/19,2
500,2019/3/20,2
501,2019/3/21,2
502,2019/3/22,2
503,2019/3/25,1
504,2019/3/26,1
505,2019/3/27,1
506,2019/3/28,1
507,2019/3/29,1
508,2019/4/1,1
509,2019/4/2,1
510,2019/4/3,1
511,2019/4/4,0
512,2019/4/8,0
513,2019/4/9,1
514,2019/4/10,1
515,2019/4/11,1
516,2019/4/12,1
517,2019/4/15,1
518,2019/4/16,1
519,2019/4/17,1
520,2019/4/18,1
521,2019/4/19,1
522,2019/4/22,1
523,2019/4/23,1
524,2019/4/24,1
525,2019/4/25,1
526,2019/4/26,1
527,2019/4/29,1
528,2019/4/30,1
